date,store_id,product_id,stock_on_hand,reorder_point,stockout_days_this_week,stockout_today
2025-01-05,ST01,P001,22,16,0,False
2025-01-05,ST02,P001,22,16,0,False
2025-01-05,ST03,P001,32,16,0,False
2025-01-05,ST04,P001,31,16,0,False
2025-01-05,ST05,P001,21,16,0,False
2025-01-05,ST01,P002,5,12,0,False
2025-01-05,ST02,P002,7,12,0,False
2025-01-05,ST03,P002,8,12,0,False
2025-01-05,ST04,P002,12,12,0,False
2025-01-05,ST05,P002,5,12,0,False
2025-01-05,ST01,P003,19,13,0,False
2025-01-05,ST02,P003,13,13,0,False
2025-01-05,ST03,P003,15,13,0,False
2025-01-05,ST04,P003,24,13,0,False
2025-01-05,ST05,P003,18,13,0,False
2025-01-05,ST01,P004,5,11,0,False
2025-01-05,ST02,P004,8,11,0,False
2025-01-05,ST03,P004,17,11,0,False
2025-01-05,ST04,P004,6,11,0,False
2025-01-05,ST05,P004,7,11,0,False
2025-01-05,ST01,P005,42,11,0,False
2025-01-05,ST02,P005,9,11,0,False
2025-01-05,ST03,P005,35,11,0,False
2025-01-05,ST04,P005,39,11,0,False
2025-01-05,ST05,P005,43,11,0,False
2025-01-05,ST01,P006,11,15,0,False
2025-01-05,ST02,P006,17,15,0,False
2025-01-05,ST03,P006,28,15,0,False
2025-01-05,ST04,P006,39,15,0,False
2025-01-05,ST05,P006,27,15,0,False
2025-01-05,ST01,P007,9,8,0,False
2025-01-05,ST02,P007,4,8,0,False
2025-01-05,ST03,P007,27,8,0,False
2025-01-05,ST04,P007,43,8,0,False
2025-01-05,ST05,P007,38,8,0,False
2025-01-05,ST01,P008,16,8,0,False
2025-01-05,ST02,P008,13,8,0,False
2025-01-05,ST03,P008,9,8,0,False
2025-01-05,ST04,P008,18,8,0,False
2025-01-05,ST05,P008,19,8,0,False
2025-01-05,ST01,P009,32,14,0,False
2025-01-05,ST02,P009,23,14,0,False
2025-01-05,ST03,P009,27,14,0,False
2025-01-05,ST04,P009,15,14,0,False
2025-01-05,ST05,P009,12,14,0,False
2025-01-05,ST01,P010,18,7,0,False
2025-01-05,ST02,P010,22,7,0,False
2025-01-05,ST03,P010,21,7,0,False
2025-01-05,ST04,P010,5,7,0,False
2025-01-05,ST05,P010,21,7,0,False
2025-01-05,ST01,P011,26,13,0,False
2025-01-05,ST02,P011,36,13,0,False
2025-01-05,ST03,P011,39,13,0,False
2025-01-05,ST04,P011,43,13,0,False
2025-01-05,ST05,P011,41,13,0,False
2025-01-05,ST01,P012,6,7,0,False
2025-01-05,ST02,P012,14,7,0,False
2025-01-05,ST03,P012,11,7,0,False
2025-01-05,ST04,P012,10,7,0,False
2025-01-05,ST05,P012,4,7,0,False
2025-01-05,ST01,P013,28,7,0,False
2025-01-05,ST02,P013,7,7,0,False
2025-01-05,ST03,P013,32,7,0,False
2025-01-05,ST04,P013,15,7,0,False
2025-01-05,ST05,P013,17,7,0,False
2025-01-05,ST01,P014,2,13,0,False
2025-01-05,ST02,P014,11,13,0,False
2025-01-05,ST03,P014,22,13,0,False
2025-01-05,ST04,P014,14,13,0,False
2025-01-05,ST05,P014,23,13,0,False
2025-01-05,ST01,P015,19,7,0,False
2025-01-05,ST02,P015,22,7,0,False
2025-01-05,ST03,P015,9,7,0,False
2025-01-05,ST04,P015,11,7,0,False
2025-01-05,ST05,P015,28,7,0,False
2025-01-05,ST01,P016,33,14,0,False
2025-01-05,ST02,P016,18,14,0,False
2025-01-05,ST03,P016,22,14,0,False
2025-01-05,ST04,P016,39,14,0,False
2025-01-05,ST05,P016,15,14,0,False
2025-01-05,ST01,P017,7,13,0,False
2025-01-05,ST02,P017,15,13,0,False
2025-01-05,ST03,P017,14,13,0,False
2025-01-05,ST04,P017,18,13,0,False
2025-01-05,ST05,P017,2,13,0,False
2025-01-05,ST01,P018,16,8,0,False
2025-01-05,ST02,P018,23,8,0,False
2025-01-05,ST03,P018,22,8,0,False
2025-01-05,ST04,P018,19,8,0,False
2025-01-05,ST05,P018,8,8,0,False
2025-01-05,ST01,P019,19,15,0,False
2025-01-05,ST02,P019,41,15,0,False
2025-01-05,ST03,P019,34,15,0,False
2025-01-05,ST04,P019,40,15,0,False
2025-01-05,ST05,P019,43,15,0,False
2025-01-05,ST01,P020,11,13,0,False
2025-01-05,ST02,P020,28,13,0,False
2025-01-05,ST03,P020,18,13,0,False
2025-01-05,ST04,P020,25,13,0,False
2025-01-05,ST05,P020,25,13,0,False
2025-01-05,ST01,P021,32,13,0,False
2025-01-05,ST02,P021,27,13,0,False
2025-01-05,ST03,P021,45,13,0,False
2025-01-05,ST04,P021,10,13,0,False
2025-01-05,ST05,P021,30,13,0,False
2025-01-05,ST01,P022,0,8,0,False
2025-01-05,ST02,P022,10,8,0,False
2025-01-05,ST03,P022,0,8,2,True
2025-01-05,ST04,P022,12,8,0,False
2025-01-05,ST05,P022,8,8,0,False
2025-01-05,ST01,P023,0,6,2,True
2025-01-05,ST02,P023,5,6,0,False
2025-01-05,ST03,P023,5,6,0,False
2025-01-05,ST04,P023,4,6,0,False
2025-01-05,ST05,P023,8,6,0,False
